scenario,region,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
"Reference,date=2024-30-4T11:58:23-04:00",USA,Beef,0.988862,1.098941,1.132155,1.139251,1.226623,1.325571,1.427014,1.520132,1.608892,1.69229,1.771524,1.858429,1.946645,2.034284,2.11795,2.195828,2.267391,2.331038,2.38663,2.434103,2.471738,km^3
"Reference,date=2024-30-4T11:58:23-04:00",USA,Corn,19.0421441,28.84621163,30.90132658,36.95892739,38.32051349,38.54287856,38.52246691,38.60296384,39.99472894,44.90015116,49.22461115,52.69474295,54.78837892,56.53104158,56.75457456,56.35953353,55.97379852,55.88832356,55.92147306,55.88729042,55.58376491,km^3
"Reference,date=2024-30-4T11:58:23-04:00",USA,Dairy,0.1984731,0.2387792,0.2612309,0.2812917,0.2970387,0.3123696,0.32774,0.3420257,0.3559698,0.3695488,0.3825325,0.3960681,0.4097258,0.4230541,0.4352351,0.4461097,0.4556752,0.4638243,0.470674,0.4763411,0.4804511,km^3
"Reference,date=2024-30-4T11:58:23-04:00",USA,FiberCrop,13.20845403,17.24764245,12.83589685,14.4519353,14.9712849,15.40553094,16.18849261,16.95883232,17.59091082,17.97984221,18.35105988,18.83931366,19.33233127,19.75108817,20.13978757,20.46071274,20.68059499,20.78892635,20.81767352,20.78962443,20.70174505,km^3
"Reference,date=2024-30-4T11:58:23-04:00",USA,FodderHerb,4.188621713,4.76165174,4.669068884,4.522532903,4.945024679,5.499341716,6.064234917,6.67035004,7.281350414,7.886641217,8.42959368,8.999520132,9.516910082,9.969899236,10.33175715,10.6081957,10.80117404,10.93186892,10.98150827,10.90839172,10.74004608,km^3
"Reference,date=2024-30-4T11:58:23-04:00",USA,Fruits,6.261489018,6.68482729,6.708709071,6.371286963,6.62415443,6.939762291,7.250529958,7.51152564,7.755886568,7.986553792,8.180326068,8.384740467,8.56221434,8.7053509,8.792930359,8.807888464,8.759215098,8.700417312,8.658851251,8.638646418,8.628167578,km^3
"Reference,date=2024-30-4T11:58:23-04:00",USA,H2 central production,0,0,0,0,0.000138609,0.004294604,0.033157244,0.062847028,0.087589217,0.10866703,0.128687288,0.140586554,0.155040457,0.169907235,0.180268605,0.186654476,0.189139882,0.192667982,0.19788412,0.201178691,0.20063391,km^3
"Reference,date=2024-30-4T11:58:23-04:00",USA,H2 industrial,0,0,0,0,0,0.000137434,0.000363437,0.000887935,0.001659126,0.002818616,0.00388238,0.005105662,0.006318958,0.007429525,0.008548402,0.009719487,0.011049159,0.011948224,0.012449801,0.013075746,0.01397906,km^3
"Reference,date=2024-30-4T11:58:23-04:00",USA,H2 wholesale dispensing,0,0,0,0,0,0.004281142,0.025364785,0.058735807,0.095541088,0.133660037,0.169459679,0.197650715,0.224709453,0.250784268,0.274194905,0.294542385,0.30874259,0.31860218,0.32621434,0.33188123,0.33557355,km^3
"Reference,date=2024-30-4T11:58:23-04:00",USA,Legumes,0.787543553,0.988367636,1.140216475,1.419943319,1.501766973,1.626998786,1.754096183,1.882190613,1.996874681,2.087730336,2.167346911,2.278961242,2.384638616,2.476508731,2.556524492,2.620540026,2.664341178,2.691527069,2.708402691,2.716834827,2.71574455,km^3
"Reference,date=2024-30-4T11:58:23-04:00",USA,MiscCrop,0.126965151,0.064955932,0.063494534,0.063823534,0.067329472,0.070416225,0.073547904,0.076790854,0.080069715,0.083455535,0.086412242,0.089326451,0.091951391,0.094296031,0.096153586,0.097611697,0.09877814,0.099717594,0.1004349,0.100891895,0.100993968,km^3
"Reference,date=2024-30-4T11:58:23-04:00",USA,NutsSeeds,3.194791113,5.068423034,7.635852222,8.628060839,9.175404844,9.716669865,10.22613032,10.68912928,11.10650035,11.46152,11.75511615,12.13279323,12.45067995,12.71050732,12.91765096,13.08143966,13.20180715,13.25716377,13.26568554,13.24002642,13.18978398,km^3
"Reference,date=2024-30-4T11:58:23-04:00",USA,OilCrop,0.364228334,0.539478892,0.552740176,0.63337382,0.7094521,0.798924956,0.896899802,0.943296328,0.997069235,1.052855486,1.103444589,1.154608417,1.195642922,1.227878378,1.244579513,1.248559537,1.240231079,1.231069124,1.22607782,1.224359846,1.225002572,km^3
"Reference,date=2024-30-4T11:58:23-04:00",USA,OtherGrain,7.90550315,4.274691719,3.545422918,3.757207332,3.764382192,3.818796569,3.928098519,4.094253909,4.227800337,4.308167417,4.375791035,4.45170057,4.527254221,4.586158002,4.637668506,4.675468241,4.694900513,4.701340272,4.700267397,4.688845397,4.666741392,km^3
